city,old,new,difference
北京市,384.0,401.0,17.0
广州市,304.0,306.0,2.0
上海市,407.0,413.0,6.0
天津市,177.0,204.0,27.0
重庆市,226.0,256.0,30.0
沈阳市,85.0,124.0,39.0
南京市,194.0,208.0,14.0
武汉市,248.0,271.0,23.0
成都市,313.0,323.0,10.0
西安市,160.0,235.0,75.0
石家庄市,60.0,60.0,0.0
太原市,22.0,23.0,1.0
郑州市,137.0,234.0,97.0
洛阳市,33.0,33.0,0.0
许昌市,0.0,27.0,27.0
大连市,78.0,100.0,22.0
长春市,86.0,111.0,25.0
哈尔滨市,62.0,73.0,11.0
呼和浩特市,43.0,43.0,0.0
无锡市,79.0,89.0,10.0
苏州市,155.0,235.0,80.0
徐州市,51.0,57.0,6.0
常州市,43.0,43.0,0.0
济南市,40.0,46.0,6.0
青岛市,128.0,172.0,44.0
合肥市,122.0,171.0,49.0
芜湖市,35.0,35.0,0.0
滁州市,0.0,10.0,10.0
杭州市,252.0,297.0,45.0
宁波市,114.0,121.0,7.0
绍兴市,27.0,39.0,12.0
温州市,18.0,36.0,18.0
金华市,16.0,28.0,12.0
台州市,0.0,15.0,15.0
福州市,76.0,92.0,16.0
厦门市,65.0,70.0,5.0
长沙市,129.0,143.0,14.0
湘潭市,0.0,33.0,33.0
湘西土家族苗族自治州,0.0,4.0,4.0
深圳市,240.0,335.0,95.0
佛山市,76.0,111.0,35.0
东莞市,15.0,15.0,0.0
南宁市,93.0,93.0,0.0
南昌市,94.0,94.0,0.0
贵阳市,55.0,93.0,38.0
昆明市,100.0,103.0,3.0
兰州市,20.0,27.0,7.0
南通市,0.0,42.0,42.0
乌鲁木齐市,21.0,21.0,0.0
香港特别行政区,0.0,97.0,97.0
澳门特别行政区,0.0,15.0,15.0
