city,totalStop,transStop,transRatio,terminalStop,terminalRatio
北京市,401.0,97.0,24.19%,48.0,0.1197%
广州市,306.0,61.0,19.93%,36.0,0.1176%
上海市,413.0,137.0,33.17%,36.0,0.0872%
天津市,204.0,27.0,13.239999999999998%,19.0,0.0931%
重庆市,256.0,44.0,17.19%,24.0,0.0938%
沈阳市,124.0,12.0,9.68%,12.0,0.0968%
南京市,208.0,22.0,10.58%,24.0,0.1154%
武汉市,271.0,38.0,14.02%,24.0,0.0886%
成都市,323.0,72.0,22.29%,29.0,0.0898%
西安市,235.0,41.0,17.45%,19.0,0.0809%
石家庄市,60.0,3.0,5.0%,6.0,0.1%
太原市,23.0,0.0,0.0%,2.0,0.087%
郑州市,234.0,49.0,20.94%,25.0,0.1068%
洛阳市,33.0,1.0,3.0300000000000002%,4.0,0.1212%
许昌市,27.0,0.0,0.0%,2.0,0.0741%
大连市,100.0,15.0,15.0%,13.0,0.13%
长春市,111.0,14.0,12.61%,10.0,0.0901%
哈尔滨市,73.0,5.0,6.8500000000000005%,6.0,0.0822%
呼和浩特市,43.0,0.0,0.0%,4.0,0.093%
无锡市,89.0,8.0,8.99%,9.0,0.1011%
苏州市,235.0,41.0,17.45%,15.0,0.0638%
徐州市,57.0,3.0,5.26%,6.0,0.1053%
常州市,43.0,1.0,2.33%,4.0,0.093%
济南市,46.0,2.0,4.35%,6.0,0.1304%
青岛市,172.0,16.0,9.3%,15.0,0.0872%
合肥市,171.0,35.0,20.47%,12.0,0.0702%
芜湖市,35.0,1.0,2.86%,4.0,0.1143%
滁州市,10.0,0.0,0.0%,2.0,0.2%
杭州市,297.0,83.0,27.950000000000003%,27.0,0.0909%
宁波市,121.0,11.0,9.09%,10.0,0.0826%
绍兴市,39.0,2.0,5.13%,5.0,0.1282%
温州市,36.0,2.0,5.56%,4.0,0.1111%
金华市,28.0,1.0,3.5700000000000003%,4.0,0.1429%
台州市,15.0,0.0,0.0%,2.0,0.1333%
福州市,92.0,10.0,10.870000000000001%,10.0,0.1087%
厦门市,70.0,5.0,7.140000000000001%,6.0,0.0857%
长沙市,143.0,18.0,12.590000000000002%,14.0,0.0979%
湘潭市,33.0,9.0,27.27%,2.0,0.0606%
湘西土家族苗族自治州,4.0,0.0,0.0%,2.0,0.5%
深圳市,335.0,61.0,18.21%,31.0,0.0925%
佛山市,111.0,8.0,7.21%,10.0,0.0901%
东莞市,15.0,0.0,0.0%,2.0,0.1333%
南宁市,93.0,11.0,11.83%,10.0,0.1075%
南昌市,94.0,9.0,9.569999999999999%,8.0,0.0851%
贵阳市,93.0,6.0,6.45%,8.0,0.086%
昆明市,103.0,19.0,18.45%,10.0,0.0971%
兰州市,27.0,2.0,7.41%,4.0,0.1481%
南通市,42.0,2.0,4.760000000000001%,4.0,0.0952%
乌鲁木齐市,21.0,0.0,0.0%,2.0,0.0952%
香港特别行政区,97.0,31.0,31.96%,18.0,0.1856%
澳门特别行政区,15.0,2.0,13.33%,6.0,0.4%
