city,old,new,difference
Amsterdam,39.0,39.0,0.0
Barcelona,159.0,159.0,0.0
Berlin,175.0,315.0,140.0
Bilbao,48.0,48.0,0.0
Brescia,17.0,16.0,-1.0
Turin,23.0,24.0,1.0
Brussels,60.0,70.0,10.0
Bucharest,56.0,56.0,0.0
Budapest,48.0,48.0,0.0
Catania,10.0,10.0,0.0
Copenhagen,39.0,44.0,5.0
Genoa,8.0,8.0,0.0
Glasgow,15.0,15.0,0.0
Hamburg,93.0,192.0,99.0
Helsinki,25.0,30.0,5.0
Lille,60.0,61.0,1.0
Lisbon,50.0,50.0,0.0
London,314.0,508.0,194.0
Lyon,40.0,139.0,99.0
Madrid,242.0,276.0,34.0
Marseille,29.0,28.0,-1.0
Milan,106.0,125.0,19.0
Munich,96.0,234.0,138.0
Naples,23.0,37.0,14.0
Tyne,0.0,59.0,59.0
Nuremberg,49.0,205.0,156.0
Paris,310.0,324.0,14.0
Rennes,28.0,27.0,-1.0
Rome,73.0,73.0,0.0
Rotterdam,70.0,71.0,1.0
Sofia,47.0,46.0,-1.0
Stockholm,100.0,205.0,105.0
Toulouse,37.0,42.0,5.0
Vienna,98.0,221.0,123.0
Warsaw,39.0,39.0,0.0
Prague,0.0,58.0,58.0
Athens,0.0,61.0,61.0
Rouen,0.0,31.0,31.0
Oslo,0.0,100.0,100.0
Bochum,0.0,187.0,187.0
Essen,0.0,41.0,41.0
Dortmund,0.0,123.0,123.0
D¨¹sseldorf,0.0,164.0,164.0
Cologne,0.0,203.0,203.0
Bonn,0.0,100.0,100.0
Frankfurt,0.0,188.0,188.0
Hanover,0.0,273.0,273.0
Stuttgart,0.0,276.0,276.0
Porto,0.0,85.0,85.0
Palma,0.0,28.0,28.0
Seville,0.0,21.0,21.0
Valencia,0.0,143.0,143.0
M¨¢laga,0.0,19.0,19.0
Alicante,0.0,70.0,70.0
Granada,0.0,26.0,26.0
Lausanne,0.0,46.0,46.0
