city,totalStop,transStop,transRatio,terminalStop,terminalRatio
Amsterdam,39.0,27.0,69.23%,5.0,0.1282%
Barcelona,159.0,34.0,21.38%,21.0,0.1321%
Berlin,315.0,114.0,36.19%,40.0,0.127%
Bilbao,48.0,12.0,25.0%,6.0,0.125%
Brescia,16.0,0.0,0.0%,2.0,0.125%
Turin,24.0,0.0,0.0%,2.0,0.0833%
Brussels,70.0,29.0,41.43%,11.0,0.1571%
Bucharest,56.0,10.0,17.86%,7.0,0.125%
Budapest,48.0,3.0,6.25%,8.0,0.1667%
Catania,10.0,1.0,10.0%,3.0,0.3%
Copenhagen,44.0,14.0,31.819999999999997%,5.0,0.1136%
Genoa,8.0,0.0,0.0%,2.0,0.25%
Glasgow,15.0,3.0,20.0%,0.0,0.0%
Hamburg,192.0,42.0,21.88%,21.0,0.1094%
Helsinki,30.0,16.0,53.33%,4.0,0.1333%
Lille,61.0,2.0,3.2800000000000002%,4.0,0.0656%
Lisbon,50.0,6.0,12.0%,8.0,0.16%
London,508.0,123.0,24.21%,55.0,0.1083%
Lyon,139.0,35.0,25.180000000000003%,21.0,0.1511%
Madrid,276.0,38.0,13.77%,24.0,0.087%
Marseille,28.0,2.0,7.140000000000001%,4.0,0.1429%
Milan,125.0,16.0,12.8%,13.0,0.104%
Munich,234.0,72.0,30.769999999999996%,29.0,0.1239%
Naples,37.0,4.0,10.81%,7.0,0.1892%
Tyne,59.0,12.0,20.34%,4.0,0.0678%
Nuremberg,205.0,54.0,26.340000000000003%,23.0,0.1122%
Paris,324.0,60.0,18.52%,31.0,0.0957%
Rennes,27.0,2.0,7.41%,4.0,0.1481%
Rome,73.0,2.0,2.74%,7.0,0.0959%
Rotterdam,71.0,42.0,59.150000000000006%,9.0,0.1268%
Sofia,46.0,17.0,36.96%,6.0,0.1304%
Stockholm,205.0,32.0,15.61%,24.0,0.1171%
Toulouse,42.0,2.0,4.760000000000001%,6.0,0.1429%
Vienna,221.0,100.0,45.25%,32.0,0.1448%
Warsaw,39.0,0.0,0.0%,4.0,0.1026%
Prague,58.0,2.0,3.45%,6.0,0.1034%
Athens,61.0,4.0,6.5600000000000005%,6.0,0.0984%
Rouen,31.0,0.0,0.0%,3.0,0.0968%
Oslo,100.0,21.0,21.0%,9.0,0.09%
Bochum,187.0,3.0,1.6%,12.0,0.0642%
Essen,41.0,11.0,26.83%,5.0,0.122%
Dortmund,123.0,35.0,28.46%,16.0,0.1301%
D¨¹sseldorf,164.0,72.0,43.9%,17.0,0.1037%
Cologne,203.0,74.0,36.449999999999996%,23.0,0.1133%
Bonn,100.0,74.0,74.0%,11.0,0.11%
Frankfurt,188.0,74.0,39.36%,23.0,0.1223%
Hanover,273.0,115.0,42.120000000000005%,40.0,0.1465%
Stuttgart,276.0,147.0,53.26%,33.0,0.1196%
Porto,85.0,28.0,32.940000000000005%,9.0,0.1059%
Palma,28.0,15.0,53.56999999999999%,3.0,0.1071%
Seville,21.0,0.0,0.0%,1.0,0.0476%
Valencia,143.0,49.0,34.27%,16.0,0.1119%
M¨¢laga,19.0,2.0,10.530000000000001%,4.0,0.2105%
Alicante,70.0,30.0,42.86%,7.0,0.1%
Granada,26.0,0.0,0.0%,2.0,0.0769%
Lausanne,46.0,0.0,0.0%,5.0,0.1087%
