city,totalStop,transStop,transRatio,terminalStop,terminalRatio
Atlanta,39.0,22.0,56.410000000000004%,6.0,0.1538%
Baltimore,46.0,5.0,10.870000000000001%,6.0,0.1304%
Boston,160.0,14.0,8.75%,15.0,0.0938%
Chicago,143.0,22.0,15.379999999999999%,11.0,0.0769%
Cleveland,49.0,34.0,69.39%,5.0,0.102%
Los Angeles,104.0,13.0,12.5%,8.0,0.0769%
Miami,43.0,29.0,67.44%,6.0,0.1395%
New York,489.0,160.0,32.72%,38.0,0.0777%
Newark,23.0,3.0,13.04%,2.0,0.087%
Hudson,27.0,5.0,18.52%,3.0,0.1111%
Philadelphia,277.0,123.0,44.4%,16.0,0.0578%
San Francisco,50.0,36.0,72.0%,6.0,0.12%
San Juan,16.0,0.0,0.0%,0.0,0.0%
Washington,101.0,43.0,42.57%,11.0,0.1089%
Detroit,13.0,0.0,0.0%,0.0,0.0%
Jacksonville,8.0,0.0,0.0%,3.0,0.375%
Las Vegas,7.0,0.0,0.0%,2.0,0.2857%
Pittsburgh,51.0,24.0,47.06%,3.0,0.0588%
Saint Louis,27.0,10.0,37.04%,2.0,0.0741%
Saint Clair,11.0,6.0,54.55%,1.0,0.0909%
Seattle,32.0,1.0,3.1199999999999997%,6.0,0.1875%
Minnesota,43.0,5.0,11.63%,4.0,0.093%
