city,distance,Num,totalNum
长春市,10.0,0.0,433.0
长春市,20.0,0.0,433.0
长春市,40.0,0.0,433.0
长春市,30.0,0.0,433.0
长春市,50.0,0.0,433.0
长春市,60.0,0.0,433.0
长春市,70.0,0.0,433.0
长春市,80.0,0.0,433.0
长春市,90.0,0.0,433.0
长春市,100.0,0.0,433.0
长春市,110.0,0.0,433.0
长春市,120.0,0.0,433.0
长春市,130.0,0.0,433.0
长春市,140.0,0.0,433.0
长春市,150.0,0.0,433.0
长春市,160.0,0.0,433.0
长春市,170.0,0.0,433.0
长春市,180.0,0.0,433.0
长春市,190.0,1.0,433.0
长春市,200.0,1.0,433.0
长春市,210.0,1.0,433.0
长春市,220.0,1.0,433.0
长春市,230.0,2.0,433.0
长春市,240.0,2.0,433.0
长春市,250.0,2.0,433.0
长春市,260.0,3.0,433.0
长春市,270.0,3.0,433.0
长春市,280.0,4.0,433.0
长春市,290.0,4.0,433.0
长春市,300.0,4.0,433.0
长春市,310.0,4.0,433.0
长春市,320.0,4.0,433.0
长春市,330.0,5.0,433.0
长春市,340.0,6.0,433.0
长春市,350.0,6.0,433.0
长春市,360.0,6.0,433.0
长春市,370.0,6.0,433.0
长春市,380.0,6.0,433.0
长春市,390.0,6.0,433.0
长春市,400.0,7.0,433.0
长春市,410.0,7.0,433.0
长春市,420.0,7.0,433.0
长春市,430.0,9.0,433.0
长春市,440.0,10.0,433.0
长春市,450.0,10.0,433.0
长春市,460.0,10.0,433.0
长春市,470.0,10.0,433.0
长春市,480.0,11.0,433.0
长春市,490.0,11.0,433.0
长春市,500.0,11.0,433.0
长春市,510.0,11.0,433.0
长春市,520.0,11.0,433.0
长春市,530.0,11.0,433.0
长春市,540.0,11.0,433.0
长春市,550.0,11.0,433.0
长春市,560.0,11.0,433.0
长春市,570.0,11.0,433.0
长春市,580.0,11.0,433.0
长春市,590.0,11.0,433.0
长春市,600.0,11.0,433.0
长春市,610.0,11.0,433.0
长春市,620.0,12.0,433.0
长春市,630.0,12.0,433.0
长春市,640.0,14.0,433.0
长春市,650.0,15.0,433.0
长春市,660.0,15.0,433.0
长春市,670.0,15.0,433.0
长春市,680.0,15.0,433.0
长春市,690.0,15.0,433.0
长春市,700.0,15.0,433.0
长春市,710.0,15.0,433.0
长春市,720.0,15.0,433.0
长春市,730.0,15.0,433.0
长春市,740.0,15.0,433.0
长春市,750.0,15.0,433.0
长春市,760.0,16.0,433.0
长春市,770.0,16.0,433.0
长春市,780.0,17.0,433.0
长春市,790.0,17.0,433.0
长春市,800.0,17.0,433.0
长春市,810.0,17.0,433.0
长春市,820.0,17.0,433.0
长春市,830.0,17.0,433.0
长春市,840.0,17.0,433.0
长春市,850.0,17.0,433.0
长春市,860.0,17.0,433.0
长春市,870.0,17.0,433.0
