city,distance,Num,totalNum
南通市,10.0,0.0,17835.0
南通市,20.0,0.0,17835.0
南通市,80.0,0.0,17835.0
南通市,30.0,1.0,17835.0
南通市,40.0,1.0,17835.0
南通市,150.0,2.0,17835.0
南通市,50.0,2.0,17835.0
南通市,60.0,2.0,17835.0
南通市,160.0,2.0,17835.0
南通市,70.0,2.0,17835.0
南通市,170.0,2.0,17835.0
南通市,180.0,2.0,17835.0
南通市,190.0,4.0,17835.0
南通市,200.0,4.0,17835.0
南通市,220.0,4.0,17835.0
南通市,230.0,5.0,17835.0
南通市,240.0,6.0,17835.0
南通市,250.0,7.0,17835.0
南通市,260.0,9.0,17835.0
南通市,270.0,10.0,17835.0
南通市,280.0,10.0,17835.0
南通市,360.0,10.0,17835.0
南通市,370.0,11.0,17835.0
南通市,380.0,13.0,17835.0
南通市,390.0,13.0,17835.0
南通市,400.0,14.0,17835.0
南通市,410.0,15.0,17835.0
南通市,420.0,19.0,17835.0
南通市,290.0,21.0,17835.0
南通市,300.0,23.0,17835.0
南通市,430.0,26.0,17835.0
南通市,90.0,26.0,17835.0
南通市,440.0,26.0,17835.0
南通市,310.0,27.0,17835.0
南通市,100.0,28.0,17835.0
南通市,450.0,29.0,17835.0
南通市,320.0,30.0,17835.0
南通市,110.0,30.0,17835.0
南通市,460.0,31.0,17835.0
南通市,470.0,36.0,17835.0
南通市,120.0,38.0,17835.0
南通市,480.0,40.0,17835.0
南通市,130.0,40.0,17835.0
南通市,330.0,40.0,17835.0
南通市,490.0,43.0,17835.0
南通市,140.0,43.0,17835.0
南通市,340.0,46.0,17835.0
南通市,350.0,47.0,17835.0
南通市,210.0,49.0,17835.0
南通市,500.0,50.0,17835.0
杭州市,10.0,0.0,42337.0
杭州市,20.0,1.0,42337.0
杭州市,30.0,1.0,42337.0
杭州市,40.0,3.0,42337.0
杭州市,50.0,7.0,42337.0
杭州市,60.0,9.0,42337.0
杭州市,70.0,12.0,42337.0
杭州市,80.0,17.0,42337.0
杭州市,90.0,22.0,42337.0
杭州市,100.0,29.0,42337.0
