city,distance,Num,totalNum
南通市,10.0,0.0,17835.0
南通市,140.0,0.0,17835.0
南通市,150.0,1.0,17835.0
南通市,20.0,1.0,17835.0
南通市,30.0,1.0,17835.0
南通市,160.0,3.0,17835.0
南通市,270.0,3.0,17835.0
南通市,40.0,4.0,17835.0
南通市,170.0,5.0,17835.0
南通市,280.0,8.0,17835.0
南通市,50.0,8.0,17835.0
南通市,290.0,13.0,17835.0
南通市,180.0,14.0,17835.0
南通市,300.0,18.0,17835.0
南通市,60.0,19.0,17835.0
南通市,190.0,22.0,17835.0
南通市,310.0,23.0,17835.0
南通市,320.0,26.0,17835.0
南通市,200.0,27.0,17835.0
南通市,70.0,27.0,17835.0
南通市,210.0,27.0,17835.0
南通市,80.0,27.0,17835.0
南通市,220.0,29.0,17835.0
南通市,330.0,32.0,17835.0
南通市,90.0,34.0,17835.0
南通市,230.0,38.0,17835.0
南通市,340.0,40.0,17835.0
南通市,100.0,43.0,17835.0
南通市,350.0,46.0,17835.0
南通市,240.0,49.0,17835.0
南通市,250.0,51.0,17835.0
南通市,110.0,53.0,17835.0
南通市,360.0,56.0,17835.0
南通市,260.0,58.0,17835.0
南通市,370.0,60.0,17835.0
南通市,120.0,64.0,17835.0
南通市,380.0,67.0,17835.0
南通市,130.0,69.0,17835.0
南通市,390.0,70.0,17835.0
南通市,400.0,73.0,17835.0
南通市,410.0,78.0,17835.0
南通市,420.0,82.0,17835.0
南通市,430.0,88.0,17835.0
南通市,440.0,93.0,17835.0
南通市,450.0,95.0,17835.0
南通市,460.0,100.0,17835.0
南通市,470.0,106.0,17835.0
南通市,480.0,111.0,17835.0
南通市,490.0,118.0,17835.0
南通市,500.0,123.0,17835.0
杭州市,10.0,0.0,42337.0
杭州市,20.0,5.0,42337.0
杭州市,30.0,8.0,42337.0
杭州市,40.0,10.0,42337.0
杭州市,50.0,21.0,42337.0
杭州市,60.0,34.0,42337.0
杭州市,70.0,57.0,42337.0
杭州市,80.0,81.0,42337.0
杭州市,90.0,102.0,42337.0
杭州市,100.0,122.0,42337.0
杭州市,110.0,151.0,42337.0
杭州市,120.0,185.0,42337.0
杭州市,130.0,218.0,42337.0
杭州市,140.0,256.0,42337.0
杭州市,150.0,295.0,42337.0
杭州市,160.0,331.0,42337.0
杭州市,170.0,376.0,42337.0
杭州市,180.0,430.0,42337.0
杭州市,190.0,475.0,42337.0
杭州市,200.0,532.0,42337.0
杭州市,210.0,582.0,42337.0
杭州市,220.0,637.0,42337.0
杭州市,230.0,689.0,42337.0
杭州市,240.0,750.0,42337.0
杭州市,250.0,818.0,42337.0
杭州市,260.0,876.0,42337.0
杭州市,270.0,942.0,42337.0
杭州市,280.0,1013.0,42337.0
杭州市,290.0,1103.0,42337.0
杭州市,300.0,1183.0,42337.0
杭州市,310.0,1257.0,42337.0
杭州市,320.0,1320.0,42337.0
杭州市,330.0,1399.0,42337.0
杭州市,340.0,1492.0,42337.0
杭州市,350.0,1565.0,42337.0
杭州市,360.0,1661.0,42337.0
杭州市,370.0,1753.0,42337.0
杭州市,380.0,1859.0,42337.0
杭州市,390.0,1941.0,42337.0
杭州市,400.0,2035.0,42337.0
杭州市,410.0,2150.0,42337.0
杭州市,420.0,2248.0,42337.0
杭州市,430.0,2351.0,42337.0
杭州市,440.0,2459.0,42337.0
杭州市,450.0,2559.0,42337.0
杭州市,460.0,2658.0,42337.0
杭州市,470.0,2769.0,42337.0
杭州市,480.0,2875.0,42337.0
杭州市,490.0,2982.0,42337.0
杭州市,500.0,3087.0,42337.0
合肥市,10.0,0.0,19577.0
合肥市,30.0,2.0,19577.0
合肥市,20.0,2.0,19577.0
合肥市,40.0,3.0,19577.0
合肥市,50.0,3.0,19577.0
合肥市,60.0,10.0,19577.0
合肥市,70.0,15.0,19577.0
合肥市,80.0,22.0,19577.0
合肥市,90.0,35.0,19577.0
合肥市,100.0,44.0,19577.0
合肥市,110.0,55.0,19577.0
合肥市,120.0,63.0,19577.0
合肥市,130.0,70.0,19577.0
合肥市,140.0,91.0,19577.0
合肥市,150.0,99.0,19577.0
合肥市,160.0,110.0,19577.0
合肥市,170.0,127.0,19577.0
合肥市,180.0,149.0,19577.0
合肥市,190.0,165.0,19577.0
合肥市,200.0,186.0,19577.0
合肥市,210.0,199.0,19577.0
合肥市,220.0,215.0,19577.0
合肥市,230.0,237.0,19577.0
合肥市,240.0,254.0,19577.0
合肥市,250.0,283.0,19577.0
合肥市,260.0,313.0,19577.0
合肥市,270.0,338.0,19577.0
合肥市,280.0,372.0,19577.0
合肥市,290.0,401.0,19577.0
合肥市,300.0,424.0,19577.0
合肥市,310.0,450.0,19577.0
合肥市,320.0,483.0,19577.0
合肥市,330.0,512.0,19577.0
合肥市,340.0,531.0,19577.0
合肥市,350.0,563.0,19577.0
合肥市,360.0,589.0,19577.0
合肥市,370.0,614.0,19577.0
合肥市,380.0,632.0,19577.0
合肥市,390.0,665.0,19577.0
合肥市,400.0,693.0,19577.0
合肥市,410.0,730.0,19577.0
合肥市,420.0,749.0,19577.0
合肥市,430.0,776.0,19577.0
合肥市,440.0,811.0,19577.0
合肥市,450.0,846.0,19577.0
合肥市,460.0,877.0,19577.0
合肥市,470.0,906.0,19577.0
合肥市,480.0,939.0,19577.0
合肥市,490.0,978.0,19577.0
合肥市,500.0,1008.0,19577.0
天津市,10.0,0.0,41174.0
天津市,20.0,1.0,41174.0
天津市,30.0,3.0,41174.0
天津市,40.0,6.0,41174.0
天津市,50.0,15.0,41174.0
天津市,60.0,22.0,41174.0
天津市,70.0,28.0,41174.0
天津市,80.0,33.0,41174.0
天津市,90.0,44.0,41174.0
天津市,100.0,49.0,41174.0
天津市,110.0,59.0,41174.0
天津市,120.0,70.0,41174.0
天津市,130.0,86.0,41174.0
天津市,140.0,101.0,41174.0
天津市,150.0,117.0,41174.0
天津市,160.0,143.0,41174.0
天津市,170.0,160.0,41174.0
天津市,180.0,177.0,41174.0
天津市,190.0,206.0,41174.0
天津市,200.0,233.0,41174.0
天津市,210.0,257.0,41174.0
天津市,220.0,276.0,41174.0
天津市,230.0,304.0,41174.0
天津市,240.0,332.0,41174.0
天津市,250.0,360.0,41174.0
天津市,260.0,384.0,41174.0
天津市,270.0,418.0,41174.0
天津市,280.0,451.0,41174.0
天津市,290.0,487.0,41174.0
天津市,300.0,523.0,41174.0
天津市,310.0,562.0,41174.0
天津市,320.0,600.0,41174.0
天津市,330.0,645.0,41174.0
天津市,340.0,695.0,41174.0
天津市,350.0,733.0,41174.0
