ID,Region,Level1,Level2,Level3
C0,CN.AH.HF,CN,Anhui,Hefei
C1,CN.AH.HZ,CN,Anhui,Chuzhou
C2,CN.AH.WH,CN,Anhui,Wuhu
C3,CN.BJ.BJ,CN,Beijing,Beijing
C4,CN.CQ.CQ,CN,Chongqing,Chongqing
C5,CN.EB.SJ,CN,Hebei,Shijiazhuang
C6,CN.FJ.FZ,CN,Fujian,Fuzhou
C7,CN.FJ.XM,CN,Fujian,Xiamen
C8,CN.GD.DG,CN,Guangdong,Dongguan
C9,CN.GD.FS,CN,Guangdong,Foshan
C10,CN.GD.GZ,CN,Guangdong,Guangzhou
C11,CN.GD.SZ,CN,Guangdong,Shenzhen
C12,CN.GS.LZ,CN,Gansu,Lanzhou
C13,CN.GX.NN,CN,Guangxi,Nanning
C14,CN.GZ.GY,CN,Guizhou,Guiyang
C15,CN.HB.WH,CN,Hubei,Wuhan
C16,CN.HL.HE,CN,Heilongjiang,Harbin
C17,CN.HN.LY,CN,Henan,Luoyang
C18,CN.HN.XC,CN,Henan,Xuchang
C19,CN.HN.ZZ,CN,Henan,Zhengzhou
C20,CN.JL.CC,CN,Jilin,Changchun
C21,CN.JS.CZ,CN,Jiangsu,Changzhou
C22,CN.JS.NJ,CN,Jiangsu,Nanjing
C23,CN.JS.NT,CN,Jiangsu,Nantong
C24,CN.JS.SZ,CN,Jiangsu,Suzhou
C25,CN.JS.WX,CN,Jiangsu,Wuxi
C26,CN.JS.XZ,CN,Jiangsu,Xuzhou
C27,CN.JX.NC,CN,Jiangxi,Nanchang
C28,CN.LN.DL,CN,Liaoning,Dalian
C29,CN.LN.SY,CN,Liaoning,Shenyang
C30,CN.NM.HH,CN,Neimenggu,Hohhot
C31,CN.SC.CD,CN,Sichuan,Chengdu
C32,CN.SD.JA,CN,Shandong,Jinan
C33,CN.SD.QD,CN,Shandong,Qingdao
C34,CN.SH.SH,CN,Shanghai,Shanghai
C35,CN.SX.TY,CN,Shanxi,Taiyuan
C36,CN.SX.XA,CN,Shanxi,Xi'an
C37,CN.SX.XY,CN,Shanxi,Xianyang
C38,CN.TJ.TJ,CN,Tianjin,Tianjin
C39,CN.UN.CS,CN,Hunan,Changsha
C40,CN.XJ.WL,CN,Xinjiang,Urumqi
C41,CN.YN.KM,CN,Yunnan,Kunming
C42,CN.ZJ.AZ,CN,Zhejiang,Hangzhou
C43,CN.ZJ.JH,CN,Zhejiang,Jinhua
C44,CN.ZJ.JX,CN,Zhejiang,Jiaxing
C45,CN.ZJ.NB,CN,Zhejiang,Ningbo
C46,CN.ZJ.SX,CN,Zhejiang,Shaoxing
C47,CN.ZJ.TZ,CN,Zhejiang,Taizhou
C48,CN.ZJ.WZ,CN,Zhejiang,Wenzhou
