city,地铁站名,线路名称,是否是换乘站,Lat,Lon,是否换乘站
Amsterdam-Netherlands,Station Zuid,"5, 25, 50, 51, 52",Yes,52.340165,4.873144,
Amsterdam-Netherlands,Station Lelylaan,"1, 17, 50, 51",Yes,52.357894,4.834373,
Amsterdam-Netherlands,Isolatorweg,"50, 51",Yes,52.395182,4.85083,
Amsterdam-Netherlands,Gein,"50, 54",Yes,52.296347,4.989227,
Amsterdam-Netherlands,Overamstel,"50, 51",Yes,52.331754,4.917802,
Amsterdam-Netherlands,Reigersbos,"50, 54",Yes,52.295619,4.974164,
Amsterdam-Netherlands,Station Sloterdijk,"19, 50, 51",Yes,52.388603,4.838885,
Amsterdam-Netherlands,Jan van Galenstraat,"13, 50, 51",Yes,52.373127,4.835498,
Amsterdam-Netherlands,Burg. De Vlugtlaan,"7, 50, 51",Yes,52.378837,4.83788,
Amsterdam-Netherlands,Henk Sneevlietweg,"50, 51",Yes,52.346543,4.834481,
Amsterdam-Netherlands,Heemstedestraat,"2, 50, 51",Yes,52.351505,4.834334,
Amsterdam-Netherlands,Postjesweg,"50, 51",Yes,52.364866,4.833949,
Amsterdam-Netherlands,Amstelveenseweg,"24, 50, 51",Yes,52.338394,4.857271,
Amsterdam-Netherlands,Station RAI,"4, 50, 51",Yes,52.337006,4.890724,
Amsterdam-Netherlands,Strandvliet,"50, 54",Yes,52.318424,4.941468,
Amsterdam-Netherlands,Station Bijlmer ArenA,"50, 54",Yes,52.312132,4.947191,
Amsterdam-Netherlands,Bullewijk,"50, 54",Yes,52.3068,4.952102,
Amsterdam-Netherlands,Station Holendrecht,"50, 54",Yes,52.298182,4.95998,
Amsterdam-Netherlands,Station Duivendrecht,"50, 54",Yes,52.323607,4.936487,
Amsterdam-Netherlands,Spaklerweg,"51, 53, 54",Yes,52.340042,4.920966,
Amsterdam-Netherlands,Centraal Station,"2, 4, 12, 13, 14, 17, 24, 26, 51, 52, 53, 54",Yes,52.378027,4.899773,
Amsterdam-Netherlands,Waterlooplein,"14, 51, 53, 54",Yes,52.367349,4.902401,
Amsterdam-Netherlands,Weesperplein,"1, 7, 19, 51, 53, 54",Yes,52.361173,4.907978,
Amsterdam-Netherlands,Wibautstraat,"51, 53, 54",Yes,52.354333,4.912123,
Amsterdam-Netherlands,Nieuwmarkt,"51, 53, 54",Yes,52.37192,4.901301,
Amsterdam-Netherlands,Amstelstation,"12, 51, 53, 54",Yes,52.346663,4.918297,
Amsterdam-Netherlands,Van der Madeweg,"50, 53, 54",Yes,52.329678,4.9303,
Amsterdam-Netherlands,Verrijn Stuartweg,53,No,52.328624,4.966759,
Amsterdam-Netherlands,Station Ganzenhoef,53,No,52.323631,4.973044,
Amsterdam-Netherlands,Kraaiennest station,53,No,52.316618,4.979454,
Amsterdam-Netherlands,Gaasperplas,53,No,52.311035,4.984549,
Amsterdam-Netherlands,Venserpolder,53,No,52.326737,4.946229,
Amsterdam-Netherlands,Station Diemen-Zuid,53,No,52.33027,4.956447,
Amsterdam-Netherlands,Europaplein,"4, 52",Yes,52.340218,4.891987,
Amsterdam-Netherlands,Noorderpark,52,No,52.388902,4.918652,
Amsterdam-Netherlands,Noord,52,No,52.401877,4.932229,
Amsterdam-Netherlands,Rokin,"4, 14, 24, 52",Yes,52.3698,4.892378,
Amsterdam-Netherlands,Vijzelgracht,"1, 7, 19, 24, 52",Yes,52.359632,4.890943,
Amsterdam-Netherlands,De Pijp,"3, 12, 24, 52",Yes,52.35279,4.891107,
Barcelona-Spain,Aeroport T1,L9,no,41.2882946,2.0711647,
Barcelona-Spain,Aeroport T2,L9,no,41.3038276,2.0726343,
Barcelona-Spain,Alfons X,L4,no,41.4121009,2.1655057,
Barcelona-Spain,Almeda,L8,no,41.3530362,2.0845124,
Barcelona-Spain,Arc de Triomf,L1,no,41.3921143,2.1809092,
Barcelona-Spain,Artigues-Sant Adrià,L2,no,41.4337226,2.2175769,
Barcelona-Spain,Avinguda Carrilet,"L1, L8",yes,41.3579267,2.1029121,
Barcelona-Spain,Avinguda Tibidabo,L7,no,41.4096598,2.1371569,
Barcelona-Spain,Bac de Roda,L2,no,41.4152191,2.1955939,
Barcelona-Spain,Badal,L5,no,41.3755518,2.1289265,
Barcelona-Spain,Badalona Pompeu Fabra,L2,no,41.4489607,2.2442207,
Barcelona-Spain,Barceloneta,L4,no,41.3821171,2.1854822,
Barcelona-Spain,Baró de Viver,L1,no,41.4499467,2.1995389,
Barcelona-Spain,Bellvitge,L1,no,41.351151,2.1109095,
Barcelona-Spain,Besòs,L4,no,41.4203693,2.2097125,
Barcelona-Spain,Besòs Mar,L4,no,41.4150936,2.2160851,
Barcelona-Spain,Bogatell,L4,no,41.3950987,2.1920399,
Barcelona-Spain,Bon Pastor,"L9, L10",yes,41.4361256,2.2048081,
Barcelona-Spain,Camp de l'Arpa,L5,no,41.4146858,2.1810127,
Barcelona-Spain,Can Boixeres,L5,no,41.3665823,2.0915183,
Barcelona-Spain,Can Cuiàs,L11,no,41.4625511,2.1728664,
Barcelona-Spain,Can Peixauet,L9,no,41.4444722,2.2102857,
Barcelona-Spain,Can Serra,L1,no,41.3675735,2.1034042,
Barcelona-Spain,Can Tries - Gornal,"L9, L10",yes,41.3607212,2.1181989,
Barcelona-Spain,Can Vidalet,L5,no,41.371869,2.099783,
Barcelona-Spain,Can Zam,L9,no,41.4576792,2.1984935,
Barcelona-Spain,Canyelles,L3,no,41.4417701,2.1664392,
Barcelona-Spain,Casa de l'Aigua,L11,no,41.4512669,2.1848915,
Barcelona-Spain,Catalunya,"L1, L3, L6, L7",yes,41.3865465,2.170084,
Barcelona-Spain,Cèntric,L9,no,41.3218206,2.0935517,
Barcelona-Spain,Ciutadella-Vila Olímpica,L4,no,41.3866815,2.1929661,
Barcelona-Spain,Ciutat Meridiana,L11,no,41.4609185,2.1745668,
Barcelona-Spain,Clot,"L1, L2",yes,41.408611,2.186667,
Barcelona-Spain,Ciutat de la Justícia,L10S,no,41.363118,2.1331342,
Barcelona-Spain,Collblanc,"L5, L9, L10",yes,41.3758387,2.1181985,
Barcelona-Spain,Congrés,L5,no,41.4234164,2.1812853,
Barcelona-Spain,Cornellà Centre,L5,no,41.3573028,2.0705523,
Barcelona-Spain,Cornellà Riera,L8,no,41.3514715,2.0706597,
Barcelona-Spain,Diagonal,"L3, L5",yes,41.3952906,2.1599586,
Barcelona-Spain,Drassanes,L3,no,41.3769264,2.1759867,
Barcelona-Spain,El Carmel,L5,no,41.4256037,2.1549579,
Barcelona-Spain,El Coll - La Teixonera,L5,no,41.4216569,2.1493621,
Barcelona-Spain,El Maresme-Fòrum,L4,no,41.4117753,2.2166779,
Barcelona-Spain,El Prat Estació,L9,no,41.3314023,2.0901394,
Barcelona-Spain,El Putxet,L7,no,41.4058141,2.1391359,
Barcelona-Spain,Encants,L2,no,41.4070747,2.1825232,
Barcelona-Spain,Entença,L5,no,41.3839818,2.1449598,
Barcelona-Spain,Ernest Lluch,L5,no,41.3759525,2.1106812,
Barcelona-Spain,Església Major,L9,no,41.4547844,2.2124449,
Barcelona-Spain,Espanya,"L3, L1, L8",yes,41.3754812,2.1493272,
Barcelona-Spain,Europa-Fira,"L8, L9",yes,41.3571111,2.1251579,
Barcelona-Spain,Fabra i Puig,L1,no,41.4297809,2.1836388,
Barcelona-Spain,Fira,L9,no,41.3519228,2.130679,
Barcelona-Spain,Florida,L1,no,41.3683104,2.1098369,
Barcelona-Spain,Foc,L10,no,41.3558512,2.1421622,
Barcelona-Spain,Fondo,"L1, L9",yes,41.4515878,2.2183919,
Barcelona-Spain,Foneria,L10,no,41.3604566,2.1386556,
Barcelona-Spain,Fontana,L3,no,41.4021018,2.1529951,
Barcelona-Spain,Gavarra,L5,no,41.358011,2.0791587,
Barcelona-Spain,Girona,L4,no,41.3950237,2.1709596,
Barcelona-Spain,Glòries,L1,no,41.4022012,2.1872368,
Barcelona-Spain,Gorg,"L2, L10",yes,41.4405041,2.2337073,
Barcelona-Spain,Gornal,L8,no,41.3547752,2.1170729,
Barcelona-Spain,Gràcia,"L6, L7",yes,41.3997257,2.1520867,
Barcelona-Spain,Guinardó – Hospital de Sant Pau,L4,no,41.4160751,2.174074,
Barcelona-Spain,Horta,L5,no,41.4296898,2.1603155,
Barcelona-Spain,Hospital de Bellvitge,L1,no,41.3445881,2.1071744,
Barcelona-Spain,Sant Pau – Dos de Maig,L5,no,41.4107312,2.175983,
Barcelona-Spain,Hospital Clínic,L5,no,41.3881615,2.1505425,
Barcelona-Spain,Hostafrancs,L1,no,41.3752539,2.1433476,
Barcelona-Spain,Ildefons Cerdà,L8,no,41.361165,2.1301693,
Barcelona-Spain,Jaume I,L4,no,41.3840008,2.1787061,
Barcelona-Spain,Joanic,L4,no,41.4062666,2.1631882,
Barcelona-Spain,La Bonanova,L6,no,41.3976723,2.1361477,
Barcelona-Spain,La Pau,"L2, L4",yes,41.4236829,2.2051956,
Barcelona-Spain,La Sagrera,"L1, L5, L4, L9, L10",yes,41.4212221,2.186586,
Barcelona-Spain,La Salut,L10,no,41.4428167,2.2246942,
Barcelona-Spain,Les Corts,L3,no,41.3841337,2.1308782,
Barcelona-Spain,Les Moreres,L9,no, 41.3289845,2.1030715,
Barcelona-Spain,Les Tres Torres,L6,no,41.3976108,2.1311837,
Barcelona-Spain,Lesseps,L3,no,41.406445,2.1498425,
Barcelona-Spain,Liceu,L3,no,41.3813934,2.1730637,
Barcelona-Spain,Llacuna,L4,no,41.3993809,2.197649,
Barcelona-Spain,Llefià,L10,no,41.4413034,2.2175477,
Barcelona-Spain,Llucmajor,L4,no,41.4369792,2.1733739,
Barcelona-Spain,Magòria-La Campana,L8,no,41.3679185,2.1394473,
Barcelona-Spain,Maragall,"L4, L5",yes,41.4231064,2.1773979,
Barcelona-Spain,Maria Cristina,L3,no,41.38794,2.1262221,
Barcelona-Spain,Marina,L1,no,41.3949958,2.1862682,
Barcelona-Spain,Mas Blau,L9,no,41.3113187,2.0734222,
Barcelona-Spain,Mercabarna,L9,no,41.3335696,2.1112293,
Barcelona-Spain,Mercat Nou,L1,no,41.3726902,2.133268,
Barcelona-Spain,Molí Nou-Ciutat Cooperativa,L8,no,41.3575245,2.0352776,
Barcelona-Spain,Montbau,L3,no,41.4295504,2.1445379,
Barcelona-Spain,Monumental,L2,no,41.4005241,2.1794545,
Barcelona-Spain,Mundet,L3,no,41.4355422,2.1483831,
Barcelona-Spain,Muntaner,L6,no,41.3986188,2.1428749,
Barcelona-Spain,Navas,L1,no,41.4160445,2.1869379,
Barcelona-Spain,Onze de Setembre,"L9, L10",yes,41.4298719,2.1932421,
Barcelona-Spain,Palau Reial,L3,no,41.3858057,2.1178576,
Barcelona-Spain,Pàdua,L7,no,41.403344,2.1430732,
Barcelona-Spain,Paral·lel,"L2, L3",yes,41.3747892,2.169837,
Barcelona-Spain,Parc de Montjuïc,Funicular de Montjuïc,no,41.3687898,2.1631845,
Barcelona-Spain,Parc Logístic,L9,no,41.3417575,2.1280783,
Barcelona-Spain,Parc Nou,L9,no,41.3166593,2.0873951,
Barcelona-Spain,Passeig de Gràcia,"L2, L3, L4",yes,41.3899486,2.1679219,
Barcelona-Spain,Penitents,L3,no,41.4175413,2.1411326,
Barcelona-Spain,Pep Ventura,L2,no,41.4439389,2.2380518,
Barcelona-Spain,Plaça Molina,L7,no,41.4013354,2.1474414,
Barcelona-Spain,Plaça de Sants,"L1, L5",yes,41.3753758,2.1381001,
Barcelona-Spain,Plaça del Centre,L3,no,41.3820364,2.136232,
Barcelona-Spain,Poblenou,L4,no,41.4036418,2.2032751,
Barcelona-Spain,Poble Sec,L3,no,41.3749795,2.1605721,
Barcelona-Spain,Port Comercial | La Factoria,L10S,no,41.3359746,2.140582,
Barcelona-Spain,Provença,"L6, L7",yes,41.3932454,2.1575069,
Barcelona-Spain,Provençana,L10,no,41.3614004,2.1242478,
Barcelona-Spain,Pubilla Cases,L5,no,41.3734592,2.1063928,
Barcelona-Spain,Rambla Just Oliveras,L1,no,41.3639652,2.0998719,
Barcelona-Spain,Reina Elisenda,L12,no,41.3987967,2.1191681,
Barcelona-Spain,Rocafort,L1,no,41.3792368,2.1545732,
Barcelona-Spain,Roquetes,L3,no,41.447355,2.1757834,
Barcelona-Spain,Sagrada Família,"L2, L5",yes,41.4040622,2.173924,
Barcelona-Spain,Sant Andreu,L1,no,41.4366293,2.1911382,
Barcelona-Spain,Sant Antoni,L2,no,41.3800525,2.1633268,
Barcelona-Spain,Sant Boi,L8,no,41.3484877,2.0429512,
Barcelona-Spain,Sant Gervasi,L6,no,41.4010283,2.1471098,
Barcelona-Spain,Sant Ildefons,L5,no,41.3633432,2.0843303,
Barcelona-Spain,Sant Josep,L8,no,41.3609506,2.1103613,
Barcelona-Spain,Sant Martí,L2,no,41.4190565,2.2007307,
Barcelona-Spain,Sant Pau | Dos de Maig,L5,no,41.4107312,2.175983,
Barcelona-Spain,Sant Roc,L2,no,41.4353172,2.2278605,
Barcelona-Spain,Santa Coloma,L1,no,41.4510253,2.2079477,
Barcelona-Spain,Santa Eulàlia,L1,no,41.3687993,2.1286052,
Barcelona-Spain,Santa Rosa,L9,no,41.446842,2.2158135,
Barcelona-Spain,Sants Estació,"L3, L5",yes,41.3814691,2.141114,
Barcelona-Spain,Sarrià,"L6, L12",yes,41.3985662,2.1256293,
Barcelona-Spain,Selva de Mar,L4,no,41.4080147,2.2091094,
Barcelona-Spain,Singuerlín,L9,no,41.459458,2.2055928,
Barcelona-Spain,Tarragona,L3,no,41.378444,2.1453675,
Barcelona-Spain,Tetuan,L2,no,41.3948216,2.1755213,
Barcelona-Spain,Torras i Bages,L1,no,41.4430859,2.190634,
Barcelona-Spain,Torrassa,"L1, L9, L10",yes,41.3679861,2.1156765,
Barcelona-Spain,Torre Baró-Vallbona,L11,no,41.4592177,2.1799449,
Barcelona-Spain,Trinitat Nova,"L3, L4, L11",yes,41.449185,2.182427,
Barcelona-Spain,Trinitat Vella,L1,no,41.4491496,2.1933756,
Barcelona-Spain,Universitat,"L1, L2",yes,41.385731,2.1640978,
Barcelona-Spain,Urgell,L1,no,41.3824863,2.1588888,
Barcelona-Spain,Urquinaona,"L1, L4",yes,41.3880903,2.1732971,
Barcelona-Spain,Vallcarca,L3,no,41.4119327,2.1444518,
