city,地铁站名,线路名称,是否是换乘站,Lat,Lon,是否换乘站
Atlanta-US,Airport†,"Red Line, Gold Line",yes,33.6407121,-84.4462272,
Atlanta-US,Arts Center,"Red Line, Gold Line",yes,33.7891209,-84.3873247,
Atlanta-US,Ashby,"Blue Line, Green Line",yes,33.7564795,-84.4173474,
Atlanta-US,Avondale,Blue Line,no,33.7751541,-84.2822446,
Atlanta-US,Bankhead†,Green Line,no,33.7722571,-84.4289408,
Atlanta-US,Brookhaven/Oglethorpe,Gold Line,no,33.8601971,-84.3392787,
Atlanta-US,Buckhead,Red Line,no,33.8489627,-84.3684019,
Atlanta-US,Chamblee,Gold Line,no,33.8874715,-84.3063596,
Atlanta-US,Civic Center,"Red Line, Gold Line",yes,33.7665094,-84.3875419,
Atlanta-US,College Park,"Red Line, Gold Line",yes,33.6516643,-84.4487904,
Atlanta-US,Decatur,Blue Line,no,33.7746104,-84.2960337,
Atlanta-US,Dome/GWCC/Philips Arena/CNN Center,"Blue Line, Green Line",yes,33.7561897,-84.3975955,
Atlanta-US,Doraville†,Gold Line,no,33.9030174,-84.2802057,
Atlanta-US,Dunwoody,Red Line,no,33.9210622,-84.34433,
Atlanta-US,East Lake,Blue Line,no,33.7651943,-84.3128808,
Atlanta-US,East Point,"Red Line, Gold Line",yes,33.6770378,-84.4406902,
Atlanta-US,Edgewood/Candler Park,"Blue Line, Green Line",yes,33.7619053,-84.3398665,
Atlanta-US,Five Points*,"Red Line, Gold Line, Blue Line, Green Line",yes,33.7538868,-84.3915963,
Atlanta-US,Garnett,"Red Line, Gold Line",yes,33.748163,-84.3961654,
Atlanta-US,Georgia State,"Blue Line, Green Line",yes,33.7501652,-84.3859566,
Atlanta-US,H. E. Holmes†,Blue Line,no,33.7545134,-84.4699478,
Atlanta-US,Indian Creek†,Blue Line,no,33.769837,-84.2297224,
Atlanta-US,Inman Park/Reynoldstown,"Blue Line, Green Line",yes,33.7578223,-84.3523602,
Atlanta-US,Kensington,Blue Line,no,33.7726386,-84.2518908,
Atlanta-US,King Memorial,"Blue Line, Green Line",yes,33.7500081,-84.3754514,
Atlanta-US,Lakewood/Fort McPherson,"Red Line, Gold Line",yes,33.7001356,-84.4288957,
Atlanta-US,Lenox,Gold Line,no,33.8455868,-84.3577479,
Atlanta-US,Lindbergh Center,"Red Line, Gold Line",yes,33.8227538,-84.3695494,
Atlanta-US,Medical Center,Red Line,no,33.9107658,-84.3514569,
Atlanta-US,Midtown,"Red Line, Gold Line",yes,33.7810921,-84.3865175,
Atlanta-US,North Avenue,"Red Line, Gold Line",yes,33.7721081,-84.3869361,
Atlanta-US,North Springs†,Red Line,no,33.9451211,-84.3571916,
Atlanta-US,Oakland City,"Red Line, Gold Line",yes,33.7167992,-84.425187,
Atlanta-US,Peachtree Center,"Red Line, Gold Line",yes,33.7581455,-84.3876126,
Atlanta-US,Sandy Springs,Red Line,no,33.9321993,-84.3520404,
Atlanta-US,Vine City,"Blue Line, Green Line",yes,33.7565641,-84.4040115,
Atlanta-US,West End,"Red Line, Gold Line",yes,33.7360535,-84.4136642,
Atlanta-US,West Lake,Blue Line,no,33.7533207,-84.4453009,
Baltimore-US,Owings Mills,Baltimore Metro SubwayLink,no,39.4073725,-76.7799141,
Baltimore-US,Old Court,Baltimore Metro SubwayLink,no,39.3712742,-76.7441047,
Baltimore-US,Milford Mill,Baltimore Metro SubwayLink,no,39.359624,-76.7205921,
Baltimore-US,Reisterstown Plaza,Baltimore Metro SubwayLink,no,39.3519262,-76.7046658,
Baltimore-US,Rogers Avenue,Baltimore Metro SubwayLink,no,39.344815,-76.691882,
