,cityname,pname,Mix,Shape_Length,Shape_Area,citynameUP,prUP
0,阿克苏地区,新疆维吾尔自治区,0.550808263881393,24.03838393378848,13.669279399952156,AK,XJ
1,阿拉尔市,新疆维吾尔自治区,0.590293646823644,4.418668817795004,0.417782826759567,AL,XJ
2,阿拉善盟,内蒙古自治区,0.757718912846579,34.39165024993945,25.443792859776966,AL,NM
3,阿勒泰地区,新疆维吾尔自治区,0.679313925823832,21.918186858751884,13.816345645102468,AL,XJ
4,阿里地区,西藏自治区,0.0,44.21187743969842,32.5435894425685,AL,XZ
5,安康市,陕西省,0.621585141940383,11.11431454212838,2.264434098303383,AK,SX
6,安庆市,安徽省,0.59751508139148,6.630918253281726,1.269775562097974,AQ,AH
7,安顺市,贵州省,0.58787455652669,7.786074123605642,0.832424421742693,AS,GZ
8,安阳市,河南省,0.605073565607519,8.215151440148476,0.733129828642911,AY,HN
9,鞍山市,辽宁省,0.590792114077848,8.851440253006599,0.98610461836435,AS,LN
10,澳门特别行政区,澳门特别行政区,0.0,0.474780821540421,0.00302547309481,AM,AM
11,巴彦淖尔市,内蒙古自治区,0.737318515598409,15.149497015603414,7.011430880737377,BY,NM
12,巴音郭楞蒙古自治州,新疆维吾尔自治区,0.624785461180965,53.266911014018405,49.17628749037926,BY,XJ
13,巴中市,四川省,0.598900924963753,7.367449789858026,1.173635572436502,BZ,SC
14,白城市,吉林省,0.629152008271941,11.22008676580892,2.950702466200358,BC,JL
15,白沙黎族自治县,海南省,0.567935194476262,2.701583303206768,0.181907893149362,BS,HN
16,白山市,吉林省,0.713522288342916,10.16214705758888,1.900922677212677,BS,JL
17,白银市,甘肃省,0.534874803078286,10.65635211786454,2.024375207779249,BY,GS
18,百色市,广西壮族自治区,0.518574581213057,17.281630766352354,3.211035901232499,BS,GX
19,蚌埠市,安徽省,0.530616969776565,5.137573247341024,0.575083415577642,BB,AH
20,包头市,内蒙古自治区,0.701649514041065,12.02079771686418,2.993135705696023,BT,NM
21,宝鸡市,陕西省,0.605806332633079,9.344864164138224,1.776734073358946,BJ,SX
22,保定市,河北省,0.627995007955261,10.93666835411249,2.309127846804953,BD,HB
23,保山市,云南省,0.627163936453048,8.949596725716345,1.705395043982132,BS,YN
24,保亭黎族苗族自治县,海南省,0.625238086568958,2.059055427234624,0.09869321652993,BT,HN
25,北海市,广西壮族自治区,0.637085592295397,6.081581401991398,0.297387846562213,BH,GX
26,北京市,北京市,0.71410644936882,10.115307582792065,1.734812015059152,BJ,BJ
27,北屯市,新疆维吾尔自治区,0.512714901375454,2.437998164432335,0.09685618150833,BT,XJ
28,本溪市,辽宁省,0.675780128143887,8.225792655331228,0.903646151388612,BX,LN
29,毕节市,贵州省,0.558897154875023,12.64187096776602,2.44256128250954,BJ,GZ
30,滨州市,山东省,0.566200437071925,9.144850632850495,0.922300629655934,BZ,SD
31,亳州市,安徽省,0.54140824500342,5.928144168395193,0.82643415220093,BZ,AH
32,博尔塔拉蒙古自治州,新疆维吾尔自治区,0.56520376759393,13.490607226634737,2.748421912446235,BE,XJ
33,沧州市,河北省,0.607772209062091,10.196634270985127,1.457887378611267,CZ,HB
